element,round
15.0,37.0
16.0,37.0
23.0,37.0
36.0,37.0
45.0,37.0
492.0,37.0
85.0,37.0
91.0,37.0
479.0,37.0
594.0,37.0
75.0,37.0
462.0,37.0
612.0,37.0
98.0,37.0
104.0,37.0
106.0,37.0
107.0,37.0
108.0,37.0
111.0,37.0
133.0,37.0
134.0,37.0
135.0,37.0
140.0,37.0
141.0,37.0
148.0,37.0
161.0,37.0
464.0,37.0
163.0,37.0
175.0,37.0
179.0,37.0
282.0,37.0
482.0,37.0
674.0,37.0
207.0,37.0
216.0,37.0
473.0,37.0
188.0,37.0
189.0,37.0
193.0,37.0
551.0,37.0
552.0,37.0
229.0,37.0
232.0,37.0
233.0,37.0
249.0,37.0
252.0,37.0
262.0,37.0
19.0,37.0
291.0,37.0
298.0,37.0
465.0,37.0
318.0,37.0
324.0,37.0
329.0,37.0
331.0,37.0
516.0,37.0
580.0,37.0
491.0,37.0
360.0,37.0
370.0,37.0
371.0,37.0
373.0,37.0
494.0,37.0
381.0,37.0
382.0,37.0
399.0,37.0
403.0,37.0
450.0,37.0
468.0,37.0
472.0,37.0
495.0,37.0
618.0,37.0
677.0,37.0
725.0,37.0
409.0,37.0
419.0,37.0
431.0,37.0
437.0,37.0
439.0,37.0
